"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DNMBP",-0.366949009394137,-0.165599310026427,-3.39504189554822,0.000769652520602902,0.00248570123624154,-1.59695076094357
"LAMA3",0.607368743042314,-0.517331453694643,3.39412135641808,0.000772156203735432,0.00249252647161311,-1.59996409358213
"CSF1R",-0.407907223302583,-0.124899594598338,-3.39331980261776,0.000774342454561274,0.00249832065304383,-1.60258731395625
"NOSIP",0.323330361827148,0.182414823780628,3.39044349189932,0.000782235251161429,0.00252251115084127,-1.6119957711561
"CAMK1",-0.32363227210895,-0.115753499617672,-3.39029908275047,0.00078263349081565,0.0025225213724674,-1.61246793959747
"MAPK3",-0.265988429252568,-0.132924759586486,-3.38778865045687,0.000789586834442752,0.00254364880823258,-1.620673196103
"STAU1",0.319132998585649,0.358405103709669,3.38715747336966,0.000791344094469362,0.00254618637948936,-1.62273528369155
"ACTA2",-0.75266806065225,-0.666383548549242,-3.38709427289063,0.000791520251598165,0.00254618637948936,-1.62294174312856
"PLOD2",0.716363355833453,0.417710906557037,3.38707611712445,0.000791570863474766,0.00254618637948936,-1.62300105260429
"ZC3H18",0.259101669541153,0.131383788971135,3.38600796355853,0.000794553815271615,0.00255449451687274,-1.62648987001124
"PREPL",-0.263582856644668,0.0391798871486266,-3.38472954596455,0.000798137732288671,0.00256472542559797,-1.63066410530826
"WASHC1",0.184527094704594,0.155780581267947,3.38313965938383,0.000802615847171474,0.0025778180000955,-1.63585328476141
"PRR5-ARHGAP8",0.430422412141852,-0.240454150133283,3.38201971543664,0.000805784358108251,0.00258669337683318,-1.63950726840932
"SDE2",0.220087874130322,0.107124025787198,3.38166651701552,0.000806786032132684,0.00258839880314371,-1.64065939669837
"DCAF5",-0.297794463412828,0.0114881825715713,-3.38143868887307,0.000807432770565422,0.00258839880314371,-1.64140250934521
"FMNL1",0.382183645781923,-0.0300108038422334,3.38140382555922,0.000807531780088061,0.00258839880314371,-1.64151621975183
"EEF1D",0.254120355202793,0.287780821139397,3.38020833667511,0.000810933745485164,0.00259799897888749,-1.64541477215356
"RNASEH2B",0.368666201122633,0.208507283599016,3.37961464345905,0.000812628159605087,0.00260212176483374,-1.64735035916866
"LLGL1",-0.227671192750521,-0.0999404395570688,-3.37863533171165,0.000815430350755601,0.00260978585943585,-1.65054246502643
"DCAF8",-0.299328567849605,0.0807484566195012,-3.37774745072032,0.000817978704613375,0.00261663027502826,-1.65343580268497
"APMAP",0.349682052664754,0.212792134684186,3.37756546390652,0.00081850195029046,0.00261699296575092,-1.65402875547431
"WDFY1",0.237913239112557,0.197826375586892,3.37695887750666,0.000820248251742212,0.00262126380749451,-1.65600493120082
"KLKB1",-0.431859386200684,-0.326044672431815,-3.37305923253611,0.000831558118411116,0.00265607733169334,-1.66870153381175
"CREG1",-0.351988179351116,-0.179628089309546,-3.37238658275485,0.000833523590858244,0.00266102406381495,-1.67089018655863
"RPL19",0.429518289789611,0.120314301006079,3.36936848342098,0.000842395833796808,0.00268800469704779,-1.68070539592146
"VAPB",0.373373316873567,0.036141111882923,3.36888734286319,0.00084381833778924,0.0026911988445476,-1.68226936288485
"NT5DC3",-0.438377608751883,-0.202079256762802,-3.36824327974436,0.000845726029637947,0.00269593644495172,-1.68436258997021
"METTL7A",-0.468071889999754,-0.835477689279884,-3.36743019784919,0.00084814008741654,0.00270165559807672,-1.68700460037813
"DPH1",0.315082797432389,0.155158082773244,3.36735408326049,0.000848366401588697,0.00270165559807672,-1.68725189497169
"RPL27",0.314860438104484,0.116073075398628,3.3657159008782,0.000853250923699221,0.00271585600589209,-1.6925730482453
"IMPDH1",0.351908388746151,0.150048185484396,3.36515854208425,0.000854918749079835,0.00271980877572235,-1.694382913172
"CYTH1",0.294373692282891,-0.0776566305627206,3.3645398864788,0.000856773553445514,0.00272435216073188,-1.69639149449664
