"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ASPN",-0.56333944088312,-0.692208195439109,-3.0905631421902,0.00216734189772559,0.00713704650207985,-2.57182725106146
"CDKAL1",0.273303324868125,0.0148616273921085,3.09055750678063,0.00216738185865824,0.00713704650207985,-2.57184414741901
"PHF3",0.234458092486165,0.0179720145498919,3.09019215113726,0.00216997405971854,0.00714189916046539,-2.57293951233996
"BUD31",0.210283688194107,0.302513614047166,3.08791151448324,0.002186219833396,0.00719166081207288,-2.5797742779496
"FKBP1A",-0.290688014700554,-0.207027281305088,-3.087749735947,0.00218737648176134,0.00719176047170246,-2.58025892589287
"SMPD4",0.252144596888783,0.0350744694567578,3.08658763186098,0.00219570161145486,0.00721541677258842,-2.58373959413252
"FIP1L1",0.18831268776546,0.201156144294983,3.08636882700018,0.00219727235462277,0.00721686418943745,-2.58439480771415
"SAMHD1",-0.308619308030596,-0.0947000989549751,-3.08595385802135,0.00220025415092798,0.00722294228980729,-2.58563731651681
"CA12",0.677901460625513,-1.12389098646052,3.08557659418665,0.00220296824626941,0.00722813579261572,-2.58676679095094
"MBLAC2",-0.263834597213688,-0.288179955713934,-3.08407340420503,0.00221381306789862,0.00725998789857869,-2.59126583444542
"ARFGEF1",0.341409132123069,0.0581048555274755,3.08315973885078,0.0022204287350829,0.0072779453149406,-2.5939994212713
"HAX1",0.279240125892806,0.0448920398721458,3.08271458292262,0.00222365860913834,0.0072847923136728,-2.59533100215166
"ZNF768",0.305141623450886,0.206265335463624,3.08198502471946,0.00222896134648698,0.00729841958836892,-2.59751291413863
"PCMT1",-0.250602140057539,-0.220819310562419,-3.08062316293334,0.00223889109057896,0.00732717560909619,-2.60158457144328
"DAP",0.291826266147228,0.219251845111325,3.07945126685449,0.00224746831454745,0.00735147806782044,-2.6050869146108
"MYO18A",0.234888290306163,0.0153604376241181,3.07889794579677,0.00225152862867326,0.00736098837382425,-2.60674013959422
"AGR2",0.888951910372558,-0.354802852358774,3.07636053392577,0.00227023497174079,0.00741629445172642,-2.61431788325019
"MEN1",-0.214765588029129,-0.0410800496358948,-3.07614922012363,0.00227179925617,0.00741629445172642,-2.61494868613314
"EIF2A",0.227842066650222,0.304757639410915,3.07613158776869,0.00227192982734172,0.00741629445172642,-2.61500131946542
"PRDX6",-0.24734868872128,-0.269279665248694,-3.07439670099524,0.0022848108378542,0.00745453101670878,-2.62017863775061
"PCBD1",-0.481272434550798,-0.374875127712299,-3.07164929454561,0.00230534704304558,0.00751553904513984,-2.62837191585603
"PPP2R5A",-0.310858894643176,-0.28595589649605,-3.07143732606891,0.00230693849238462,0.00751553904513984,-2.62900375795154
"NSUN4",0.2755757449657,0.119684891355816,3.07142368282626,0.00230704095982366,0.00751553904513984,-2.62904442473467
"SERPINE2",-0.607853370808382,0.204192542942709,-3.06969636912884,0.00232004781000607,0.00755405673987187,-2.63419169755095
"GCA",-0.39298939230368,0.130149639975169,-3.06880847178855,0.00232675998938108,0.00757132649336931,-2.63683650486648
"PPP1R12C",0.327819548846099,-0.478845045138838,3.06868122384162,0.00232772339960594,0.00757132649336931,-2.6372154830724
"ATF7",0.192236892376914,0.0667309734998366,3.06810668150712,0.00233207790273457,0.00758162800863556,-2.63892643806637
"CBFB",0.262642757441473,0.218027347328882,3.0669827014739,0.0023406183160147,0.00760552058409867,-2.64227271292746
